# FrameTime=1781596344.71, PointCount=523
11.9424,12.5933
11.9467,12.6174
11.9509,12.6414
11.9681,12.6726
11.9175,12.6673
11.9234,12.6924
11.8946,12.6987
11.8960,12.7215
11.8367,12.7105
11.8099,12.7174
11.7745,12.7193
11.7868,12.7482
11.7577,12.7534
11.7267,12.7574
11.7670,12.8027
11.7574,12.8192
11.7650,12.8458
11.6928,12.8252
11.6983,12.8505
11.6392,12.8371
11.6209,12.8481
11.6262,12.8733
11.6292,12.8971
11.6448,12.9290
11.5817,12.9121
11.7054,13.0115
11.5576,12.9412
11.5433,12.9544
11.5291,12.9675
11.4728,12.9536
11.4963,12.9909
11.4359,12.9739
11.4906,13.0318
11.4408,13.0437
11.4180,13.0509
11.3911,13.0551
11.3642,13.0593
11.3373,13.0633
11.3104,13.0672
11.2138,13.0447
11.1993,13.0567
11.1767,13.0628
11.1867,13.0920
11.1803,13.1096
11.1779,13.1302
11.2017,13.1696
11.1567,13.1595
11.1420,13.1712
11.1313,13.1858
11.1166,13.1974
11.1018,13.2090
11.0870,13.2205
11.0681,13.2289
11.0305,13.2455
11.0195,13.2598
11.0362,13.2954
11.0488,13.3281
11.0691,13.3670
11.0382,13.3659
10.9940,13.3773
10.9380,13.3556
10.9578,13.3947
10.8939,13.3661
10.9136,13.4052
10.9004,13.4177
10.9447,13.4776
10.8391,13.4135
10.8353,13.4336
10.8277,13.4505
10.8238,13.4706
10.8274,13.4972
10.7681,13.4700
10.7754,13.4998
10.7658,13.5152
10.7407,13.5169
10.7327,13.5336
10.7321,13.5569
10.7186,13.5688
10.7365,13.6088
10.7235,13.6456
10.6782,13.6287
10.6293,13.6081
10.6393,13.6415
10.5979,13.6274
10.6187,13.6711
10.6720,13.7456
10.5856,13.7135
10.5300,13.6850
10.4998,13.6805
10.5091,13.7140
10.4860,13.7162
10.4737,13.7289
10.4453,13.7505
10.4258,13.7560
10.4063,13.7613
10.3833,13.7631
10.3638,13.7683
10.3339,13.7627
10.3891,13.8444
10.3124,13.7906
10.3275,13.8315
10.3390,13.8690
10.3227,13.8775
10.3168,13.8969
10.3190,13.9252
10.3027,13.9337
10.2767,13.9578
10.2501,13.9551
10.2154,13.9433
10.2024,13.9551
10.1994,13.9780
10.1829,13.9860
10.1632,14.0169
10.1283,14.0039
10.1104,14.0101
10.0809,14.0028
10.0611,14.0066
10.0577,14.0294
10.1463,14.1602
10.0311,14.0520
10.0178,14.0633
10.0044,14.0745
9.9878,14.0818
9.9744,14.0930
9.9609,14.1041
9.9740,14.1477
9.8905,14.0727
9.9297,14.1488
9.9192,14.1636
9.9087,14.1785
9.9011,14.1972
9.8874,14.2081
9.8736,14.2189
9.8428,14.2365
9.8228,14.2393
9.8362,14.2856
9.8433,14.3242
9.8154,14.3166
9.8089,14.3375
9.7657,14.3386
9.7633,14.3652
9.7490,14.3756
9.7360,14.3878
9.7304,14.4103
9.7451,14.4613
9.7464,14.5251
9.7144,14.5110
9.6711,14.4804
9.6394,14.4660
9.5737,14.4021
9.5424,14.3873
9.7121,14.6673
9.5193,14.4151
9.5021,14.4207
9.4849,14.4262
9.4456,14.3984
9.4614,14.4538
9.4578,14.4800
9.4595,14.5147
9.4543,14.5715
9.4287,14.5642
9.4031,14.5568
9.3963,14.5789
9.4184,14.6475
9.4454,14.7248
9.3938,14.7097
9.4408,14.8214
9.5428,15.0255
9.3684,14.7719
9.3643,14.8003
9.2788,14.6916
9.3483,14.8446
9.2458,14.7052
9.2380,14.7271
9.2176,14.7273
9.2122,14.7535
9.2017,14.7710
9.1911,14.7884
9.1644,14.7773
9.1382,14.8033
9.1154,14.7988
9.1046,14.8161
9.0937,14.8333
9.0828,14.8506
9.0694,14.8634
9.0425,14.8890
9.0266,14.8973
9.0131,14.9100
9.0017,14.9271
8.9757,14.9155
8.9620,14.9280
8.9479,14.9798
8.9362,14.9968
8.9443,15.0540
8.9158,15.0372
8.9126,15.0721
8.8854,15.0575
8.8905,15.1104
8.8452,15.0574
8.8331,15.0742
8.8273,15.1045
8.8192,15.1303
8.7943,15.1197
8.7591,15.0864
8.8464,15.3238
8.7385,15.1286
8.7361,15.1679
8.7134,15.1616
8.7027,15.1826
8.7118,15.2494
8.7037,15.2774
8.6789,15.2662
8.6372,15.2622
8.6202,15.2692
8.5975,15.2624
8.5994,15.3156
8.5833,15.3249
8.5642,15.3272
8.5646,15.3782
8.5209,15.3686
8.5000,15.3660
8.4791,15.3633
8.4521,15.3443
8.4357,15.3531
8.4124,15.3432
8.3771,15.3536
8.3530,15.3411
8.3392,15.3567
8.3295,15.3842
8.3039,15.3668
8.2965,15.4011
8.2836,15.4770
8.2829,15.5326
8.2803,15.5837
8.2387,15.5186
8.2162,15.5102
8.1939,15.5018
8.1631,15.5275
8.1461,15.5355
8.1193,15.5125
8.1031,15.5228
8.1366,15.7609
8.0900,15.6730
8.0494,15.6694
8.0354,15.6891
8.0089,15.6656
7.9955,15.6877
7.9773,15.6929
7.9523,15.6739
8.0525,16.1874
7.9081,15.7274
7.8859,15.7178
7.8909,15.8119
7.8535,15.7442
7.8265,15.7151
7.8247,15.7853
7.8019,15.7727
7.7786,15.7579
7.7696,15.8012
7.7649,15.8640
7.7663,15.9539
7.7444,15.9458
7.7507,16.0602
7.7086,15.9643
7.7047,16.0368
7.6661,15.9533
7.6291,15.8745
7.6155,15.9030
7.5925,15.8874
7.5767,15.9060
7.5399,15.9187
7.5210,15.9225
7.4972,15.9017
7.4831,15.9298
7.4845,16.0414
7.4798,16.1236
7.4887,16.2826
7.4310,16.0767
7.4090,16.0654
7.4192,16.2391
7.3926,16.2031
7.3662,16.1670
7.3501,16.1919
7.3396,16.2524
7.3098,16.1933
7.2862,16.1718
7.2695,16.1945
7.2601,16.2666
7.2509,16.3437
7.2328,16.3614
7.2119,16.3593
7.1661,16.3253
7.1414,16.2933
7.1195,16.2810
7.1001,16.2885
7.0830,16.3157
7.0662,16.3462
7.0569,16.4429
7.0249,16.3426
7.0042,16.3399
6.9866,16.3669
6.9857,16.5563
6.9623,16.5335
6.9391,16.5107
6.9194,16.5226
6.8952,16.4863
6.8693,16.4285
6.8543,16.4949
6.8402,16.5763
6.8264,16.6676
6.8033,16.6443
6.7775,16.5811
6.7350,16.5741
6.7131,16.5605
6.6929,16.5718
6.2914,9.9970
6.2903,9.9971
6.2888,9.9922
6.2868,9.9973
6.5754,16.7629
6.5552,16.7937
6.5356,16.8482
6.5144,16.8639
6.4902,16.7860
6.4730,16.9402
6.4470,16.7822
6.4261,16.8077
6.4082,17.0068
6.2751,9.9927
6.3645,17.0634
6.3417,17.0087
6.3198,17.0529
6.2751,17.0081
6.2529,16.9891
6.2306,17.0180
6.2659,9.9927
6.1869,16.9576
6.1645,16.9823
6.1185,17.0665
6.0957,17.0860
6.0720,17.1355
6.0490,17.1498
6.0254,17.1791
6.0013,17.2183
5.9304,17.2705
5.9083,17.2495
5.8849,17.2584
5.8612,17.2722
5.8340,17.3464
5.8119,17.3251
5.7731,17.2076
5.7456,17.2758
5.7176,17.3440
5.6911,17.3871
5.6639,17.4351
5.6369,17.4781
5.5931,17.4343
5.5607,17.5317
5.5177,17.7384
5.5147,17.5121
5.4910,17.5098
5.4572,17.6071
5.4197,17.7337
5.4049,17.6418
5.3792,17.6541
5.3438,17.7505
5.3153,17.7825
5.2956,17.7399
5.2688,17.7568
5.2493,17.7140
5.1870,17.8119
5.1577,17.8433
5.1446,17.7557
5.1223,17.7375
5.0837,17.8328
5.0634,17.7996
5.0105,17.8169
4.9758,17.8772
4.9432,17.9226
4.9174,17.9235
4.8770,18.0130
4.8443,18.0531
4.8130,18.0837
4.7868,18.0838
4.7561,18.1093
4.7056,18.2424
4.6844,18.2125
4.6540,18.2322
4.6253,18.2421
4.6003,18.2328
4.5707,18.2467
4.5419,18.2563
4.5139,18.2609
4.4840,18.2751
4.4590,18.2648
4.4185,18.3278
4.3766,18.3954
4.3358,18.3302
4.2525,18.5789
4.2134,18.6264
4.2023,18.5509
4.1596,18.6127
4.0676,18.8799
4.0328,18.9024
4.0857,18.5642
4.0589,18.5576
4.0321,18.5510
3.9501,18.7620
3.9201,18.7647
3.8977,18.7383
3.8216,18.9163
3.7858,18.8275
3.7608,18.8103
3.7345,18.7980
3.6407,19.0278
3.6056,19.0439
3.5636,19.0839
3.4956,19.1059
3.4459,19.1695
3.4144,19.1705
3.3872,19.1572
3.3556,19.1580
3.3241,19.1588
3.2653,19.1457
-1.5166,10.5941
-1.5092,10.5694
-1.4999,10.5210
-1.5125,10.4988
-1.7210,10.3288
-1.7082,10.3036
-1.6951,10.2784
-1.7369,10.2577
-1.7787,10.2368
-1.7807,10.2126
-1.7873,10.1888
-1.8039,10.1657
-1.8205,10.1424
-1.8420,10.1194
-1.8635,10.0963
-1.8812,10.0483
-1.9025,10.0248
-1.9187,10.0010
-1.9348,9.9771
-1.9508,9.9532
-1.9668,9.9291
-1.9827,9.9049
-1.9835,9.8801
-1.9943,9.8557
-2.0000,9.8310
-2.0156,9.8066
-2.0312,9.7820
-2.0516,9.7575
-2.0720,9.7328
-2.0926,9.6829
-2.1128,9.6579
-2.1329,9.6329
-2.1579,9.6076
-2.1776,9.5823
-2.1974,9.5568
-2.2122,9.5058
-2.2319,9.4801
-2.2511,9.4542
-2.2706,9.4282
-2.2853,9.4022
-2.3047,9.3760
-2.3231,9.3239
-2.3372,9.2976
-2.3562,9.2710
-2.3751,9.2443
-2.3934,9.2175
-2.4127,9.1905
-2.4300,9.1373
-2.4485,9.1101
-2.4669,9.0827
-2.4852,9.0552
-2.5085,9.0273
-2.5316,8.9993
-2.5547,8.9711
-2.5769,8.9428
-2.5756,8.9162
-2.5984,8.8876
-2.6161,8.8593
-2.6337,8.8309
-2.6513,8.8024
-2.6687,8.7738
-2.6901,8.7447
-2.6884,8.7177
-2.7155,8.6878
-2.7376,8.6582
-2.7645,8.6279
-2.7913,8.5975
-2.8130,8.5675
-2.8385,8.5368
-2.8314,8.5100
-2.8529,8.4796
-2.8743,8.4491
-2.8955,8.4185
-2.9167,8.3877
-2.9427,8.3561
-2.9426,8.3279
-2.9597,8.2973
-2.9805,8.2660
-3.0011,8.2346
-3.0217,8.2031
-3.0421,8.1714
-3.0674,8.1388
-3.0880,8.0779
-3.1129,8.0449
-3.1362,8.0120
-3.1560,7.9796
-3.1920,7.9441
-3.2165,7.9104
-3.2405,7.8471
-3.2647,7.8131
-3.2936,7.7779
-3.3224,7.7425
-3.3511,7.7069
-3.3796,7.6712
-3.3972,7.6073
-3.4254,7.5711
-3.4486,7.5357
-3.4716,7.5002
-3.4945,7.4646

# FrameTime=1781596344.80, PointCount=513
11.9406,12.5878
11.9493,12.6142
11.9491,12.6359
11.9776,12.6732
11.9615,12.6865
11.9260,12.6893
11.9016,12.6979
11.8836,12.7100
11.8480,12.7122
11.8082,12.7118
11.7771,12.7161
11.7603,12.7502
11.7379,12.7592
11.7610,12.7945
11.7557,12.8135
11.7590,12.8375
11.6825,12.8144
11.6375,12.8314
11.6235,12.8449
11.6331,12.8727
11.6360,12.8966
11.6517,12.9284
11.6097,12.9247
11.5686,12.9433
11.5502,12.9539
11.5191,12.9563
11.4964,12.9639
11.4863,12.9796
11.4510,12.9788
11.4973,13.0313
11.5058,13.0593
11.4476,13.0433
11.4289,13.0532
11.4186,13.0687
11.3750,13.0617
11.3440,13.0629
11.3130,13.0640
11.3417,13.1061
11.2081,13.0358
11.2019,13.0535
11.1793,13.0597
11.2056,13.1003
11.1911,13.1122
11.2149,13.1516
11.1740,13.1446
11.1593,13.1564
11.1446,13.1681
11.1339,13.1827
11.1192,13.1943
11.1084,13.2088
11.0896,13.2173
11.0638,13.2431
11.0251,13.2363
11.0301,13.2627
11.0388,13.2922
11.0514,13.3249
11.0756,13.3669
11.0295,13.3770
10.9887,13.3678
10.9367,13.3493
10.9505,13.3835
10.8965,13.3629
10.9260,13.4101
10.8953,13.4082
10.8379,13.4071
10.8418,13.4336
10.8303,13.4473
10.8225,13.4642
10.8148,13.4811
10.7669,13.4636
10.7701,13.5134
10.7433,13.5137
10.7353,13.5304
10.7347,13.5538
10.7378,13.5804
10.7205,13.5890
10.6965,13.6156
10.6697,13.6154
10.6356,13.6083
10.6419,13.6383
10.6005,13.6242
10.5848,13.6338
10.7492,13.8125
10.5774,13.7000
10.5218,13.6715
10.5023,13.6773
10.5152,13.7143
10.4886,13.7130
10.5314,13.7796
10.4639,13.7383
10.4444,13.7438
10.4284,13.7528
10.4054,13.7546
10.3894,13.7634
10.3664,13.7651
10.4078,13.8324
10.3240,13.7717
10.3184,13.7910
10.3405,13.8391
10.3381,13.8622
10.3440,13.8940
10.3311,13.9062
10.3182,13.9184
10.2889,13.9389
10.2793,13.9546
10.2493,13.9482
10.2247,13.9474
10.2050,13.9519
10.2053,13.9785
10.1790,14.0020
10.1658,14.0137
10.1210,13.9894
10.1130,14.0069
10.0835,13.9996
10.0188,13.9513
10.1950,14.1833
10.0470,14.0375
10.0337,14.0488
10.0204,14.0601
10.0070,14.0713
9.9904,14.0787
9.9770,14.0898
9.9635,14.1009
9.8899,14.0656
9.9323,14.1456
9.9218,14.1604
9.9113,14.1753
9.9006,14.1901
9.8900,14.2049
9.8654,14.2305
9.8545,14.2452
9.8558,14.2757
9.8721,14.3261
9.8459,14.3210
9.8149,14.3095
9.7914,14.3369
9.7653,14.3314
9.7659,14.3620
9.7516,14.3725
9.7386,14.3846
9.7359,14.4112
9.7623,14.4785
9.7608,14.5074
9.7951,14.5872
9.6940,14.4752
9.7023,14.5182
9.6363,14.4546
9.5678,14.3866
9.7129,14.6290
9.5419,14.4104
9.5191,14.4078
9.5047,14.4175
9.4792,14.4106
9.4564,14.4077
9.4640,14.4506
9.4659,14.4852
9.4474,14.5210
9.4650,14.5810
9.4340,14.5653
9.4057,14.5536
9.4015,14.5799
9.4316,14.6613
9.4222,14.7141
9.4121,14.7321
9.3797,14.7135
9.3684,14.7644
9.3592,14.7842
9.2636,14.6931
9.2534,14.7107
9.2381,14.7196
9.2277,14.7371
9.2173,14.7546
9.2068,14.7721
9.1937,14.7852
9.1442,14.7697
9.1456,14.8089
9.1180,14.7956
9.1072,14.8129
9.0963,14.8301
9.0830,14.8430
9.0562,14.8686
9.0451,14.8858
9.0316,14.8985
9.0203,14.9157
9.0112,14.9372
8.9760,14.9078
8.9531,14.9418
8.9527,14.9811
8.9366,14.9891
8.9689,15.0957
8.9206,15.0385
8.9152,15.0689
8.8858,15.0498
8.8985,15.1186
8.8414,15.0407
8.8421,15.0846
8.8256,15.0922
8.8416,15.1701
8.7844,15.0893
8.8786,15.3401
8.7432,15.0861
8.7472,15.1391
8.7366,15.1601
8.7180,15.1629
8.7053,15.1794
8.7163,15.2508
8.7043,15.2696
8.6645,15.2703
8.6397,15.2590
8.6228,15.2660
8.6039,15.2685
8.5935,15.2917
8.5896,15.3310
8.5737,15.3912
8.5481,15.3772
8.5235,15.3654
8.5026,15.3628
8.4799,15.3555
8.4511,15.3318
8.4194,15.3517
8.3952,15.3394
8.3797,15.3504
8.3573,15.3426
8.3452,15.3629
8.3296,15.3738
8.3065,15.3636
8.2834,15.4087
8.2781,15.4501
8.2823,15.5199
8.2670,15.5331
8.2223,15.4585
8.2173,15.5023
8.1803,15.5091
8.1687,15.5338
8.1471,15.5275
8.1249,15.5189
8.1116,15.5387
8.1884,15.8525
8.1377,15.7530
8.0744,15.6752
8.0562,15.6806
8.0338,15.6715
8.0101,15.6576
7.9981,15.6846
7.9853,15.7090
7.9420,15.6950
7.9395,15.7579
7.9068,15.7098
7.8897,15.7195
7.8922,15.8039
7.8536,15.7313
7.8108,15.7165
7.8033,15.7647
7.7788,15.7450
7.7734,15.8029
7.7734,15.8851
7.7683,15.9479
7.7291,15.9519
7.7123,15.9659
7.6590,15.9062
7.6306,15.8664
7.6160,15.8900
7.6359,16.0777
7.5773,15.8931
7.5604,15.9067
7.5425,15.9155
7.5226,15.9144
7.5008,15.9034
7.4894,15.9463
7.4816,16.0088
7.4575,16.0945
7.4354,16.0833
7.4186,16.1015
7.4033,16.1295
7.3880,16.1575
7.3680,16.1589
7.3313,16.1821
7.3116,16.1852
7.2896,16.1735
7.2751,16.2111
7.2634,16.2684
7.2535,16.3405
7.2309,16.3268
7.2152,16.3611
7.1861,16.2996
7.1740,16.3617
7.1421,16.2753
7.1221,16.2778
7.1027,16.2853
7.0862,16.3175
7.0471,16.3322
7.0269,16.3345
7.0062,16.3318
6.9913,16.3836
6.9882,16.5531
6.9649,16.5303
6.9206,16.5045
6.8968,16.4732
6.8714,16.4203
6.8578,16.5017
6.8469,16.6229
6.8317,16.6992
6.7841,16.6327
6.7602,16.5944
6.7382,16.5809
6.2960,9.9888
6.6955,16.5686
6.6749,16.5748
6.6551,16.5959
6.2914,9.9891
6.6206,16.7514
6.6003,16.7774
6.5787,16.7746
6.5584,16.8055
6.5386,16.8550
6.2846,9.9894
6.4713,16.7834
6.4502,16.8040
6.4295,16.8444
6.4124,17.0885
6.3902,17.1048
6.3668,17.0352
6.3448,17.0645
6.3223,17.0407
6.3000,17.0348
6.2777,16.9899
6.2555,16.9959
6.2332,17.0198
