合并总点数：98651
x,y
-0.0003,21.3461
-0.0013,21.2729
-0.0014,21.2753
-0.0014,21.2813
-0.0017,21.3373
-0.0017,21.3435
-0.0021,21.3363
-0.0023,21.3689
-0.0037,21.3537
-0.0046,21.3608
-0.0047,21.3356
-0.0052,21.3583
-0.0056,21.3002
-0.0056,21.3284
-0.0063,21.3323
-0.0068,21.4399
-0.0069,21.3348
-0.0083,21.3174
-0.0088,21.3518
-0.0089,21.3081
-0.0091,21.3707
-0.0094,21.2942
-0.0094,21.3147
-0.0095,21.2991
-0.0097,21.3589
-0.0098,21.2967
-0.0109,21.3038
-0.0110,21.2817
-0.0112,21.3454
-0.0114,21.3173
-0.0115,21.3290
-0.0116,21.3224
-0.0122,21.2931
-0.0126,21.2712
-0.0136,21.2669
-0.0140,21.2958
-0.0147,21.3262
-0.0151,21.2685
-0.0151,21.3330
-0.0156,21.2862
-0.0159,21.2951
-0.0161,21.2986
-0.0167,21.3439
-0.0172,21.2948
-0.0176,21.2681
-0.0176,21.2867
-0.0178,21.2534
-0.0178,21.3083
-0.0179,21.2648
-0.0184,21.2965
-0.0186,21.2602
-0.0188,21.2855
-0.0193,21.2852
-0.0196,21.2633
-0.0202,21.2608
-0.0206,21.2993
-0.0229,21.2779
-0.0230,21.2628
-0.0236,21.2670
-0.0239,21.2692
-0.0243,21.2589
-0.0245,21.2943
-0.0246,21.2612
-0.0246,21.3021
-0.0247,21.2586
-0.0251,21.2599
-0.0253,21.2724
-0.0258,21.2574
-0.0260,21.2704
-0.0262,21.2809
-0.0271,21.2628
-0.0280,21.3055
-0.0283,21.2655
-0.0285,21.2697
-0.0287,21.3023
-0.0290,21.2951
-0.0291,21.2655
-0.0291,21.3948
-0.0296,21.2663
-0.0298,21.2910
-0.0309,21.2587
-0.0310,21.2965
-0.0311,21.2814
-0.0315,21.2565
-0.0316,21.3010
-0.0318,21.2906
-0.0322,21.2972
-0.0323,21.2754
-0.0326,21.2923
-0.0328,21.2910
-0.0334,21.2823
-0.0337,21.2602
